Scenario,Category,Subcategory,Response,More Information,Source
Is there any of this info on the receipt?,Reward Info,General Program,"Your Points balance and available BonusCash will be printed on your register receipt but we would encourage you to login to your digital account to manage your Points, BonusCash, Challenges, etc.",,Rewards Program
Can I get a replacement card?,Reward Info,General Program,"At this time, we are no longer providing physical cards. Rite Aid is working to become a more digital company, therefore you can enter your telephone number at checkout to have your reward account applied to your purchase. We do apologize for any inconvenience this may have caused.",,Rewards Program
What is BonusCash?,BonusCash,Reward Info,"BonusCash Rewards are digital rewards earned on participating items and promotions throughout the store and online, loaded automatically to your Rewards account only for use in-store or at riteaid.com and expire after 30 days.",*BonusCash cannot be used on the same transaction that it was earned on. It will be available for the next transaction,Rewards Program
What is BonusCash? (cont),BonusCash,How To Earn,"Members can earn Bonus Cash two ways. You can earn Points by purchasing eligible products and services throughout the store, online, as well as prescription pickups and special bonus points promotions. You can then convert those Points into BonusCash in three increments: 1,000 POINTS = $2 BonusCash, 2,000 POINTS = $3 Bonus Cash, and 3,000 POINTS = $6 BonusCash Or you can earn BonusCash by purchasing promoted products that are then directly deposited into your account after qualifying purchase.","*Customers in the states of NY and NJ are not able to earn points when picking up prescriptions.                              To convert points into BonusCash for redemption, customers must activate a digital account.  *Excluded items for earning points and BonusCash redemption: tobacco products, alcohol, lottery tickets, gift cards, licenses, money orders, money transfers, newspapers, stamps, other mail services, dairy products, prescriptions, or other items prohibited by law, or for the payment of prescription copays, tax or shipping costs (together, “Excluded Items”). See Rite Aid Rewards Terms and Conditions for full details. **Points for prescription pick up apply for both commercial and federal prescriptions. As well as 7,500 points ($15 value) service cap (per pick up of a prescription) and annual cap (Jan-Dec) of 37,500 points ($75 value).",Rewards Program
"With the new Rewards Program, what happens to the Points and BC I already had on my Wellness+ account?",BonusCash,Reward Info,"With the termination of our Wellness+ loyalty program, any Points that were accumulated to reach a tier status were zeroed out as of Feb 26, 2022, however any BonusCash you had is still valid for redepemtion through it's original expiration date. ",,Rewards Program
How can I earn Points?,Points,Program Info,"Earning points is easy! You can accrue them through eligible purchases* online, at the ,and for prescription pick up: 10 POINTS = per $1 spent on qualifying front-end product (in store or online)*, 250 POINTS = per 30-day or less prescription** pickup, and 750 POINTS = per 31-day or more prescription** pickup Plus, Rite Aid Rewards offers promotions to earn even more points, including personalized offers, games, and challenges.  ","Points based on transaction spend after discounts and before tax. *Excluded items for earning points and BonusCash redemption: tobacco products, alcohol, lottery tickets, gift cards, licenses, money orders, money transfers, newspapers, stamps, other mail services, dairy products, prescriptions, or other items prohibited by law, or for the payment of prescription copays, tax or shipping costs (together, “Excluded Items”). See Rite Aid Rewards Terms and Conditions for full details. **Points for prescription pick up apply for both commercial and federal prescriptions. As well as 7,500 points ($15 value) service cap (per pick up of a prescription) and annual cap (Jan-Dec) of 37,500 points ($75 value).",Rewards Program
How can I manage my Points/BC and make sure that I'm earning them?,BC/Points,Program Info,"You'll want to make sure you have a digital account, and from there earning Rite Aid Rewards is as easy as providing a phone number or email at the beginning of a purchase. We encourage you to opt-in to receive program emails so you don’t miss out on personalized offers and alerts about Points balances and dates to use your BonusCash before it expires. Having a digital account also allows you to convert your Points to BonusCash for use on future purchases.",,Rewards Program
What about Rewards65+ (formerly Wellness65+) members? Do we get any Point perks?,Points,Program Info,"For our customers 65 years of age or older, we offer Rite Aid Rewards 65+ (formerly Wellness65+), a special program that features 5X points on the first Wednesday of every month. ",,Rewards Program
What about Rewards65+ (formerly Wellness65+) members? Do we get any Point perks?,Points,Program Info,"Now you can shop and earn Points every day of the month that convert to BonusCash savings, including 250-750 Points for prescription pickups! PLUS get 5X points on 1st Wednesday of the month. Log in to your digital account or sign up for a new one to claim your Welcome Gift.",,Rewards Program
How do Rite Aid Rewards members earn points for prescription pickup in the Pharmacy? ,Points,Program Info,Simply enter your phone number or email address during your transaction when you pick up your prescription and you're ready to go! You can earn Points for both commercial and federal prescription pick up: 250 POINTS = per 30-day or less prescription** pickup and 750 POINTS = per 31-day or more prescription** pickup,"*Customers in the states of NY and NJ are not able to earn points when picking up prescriptions. Points for Prescription Pickup are issued to the account of the person picking up the prescription, regardless of the name/patient on the prescription ",Rewards Program
Can you earn Points for online purchases at Riteaid.com?,Points,Online Purchase,Absolutely! Members can earn Points for the purchase of eligible products in store and online at RiteAid.com. ,,Rewards Program
"Can I use BC on a BOPS (Buy Online, Pick Up In Store) order?",BonusCash,Program Info ,Unfortuantely BonusCash cannot currently be applied to BOPS orders. ,,Rewards Program
When during the purchase process will the BC be applied?,BonusCash,Reward Info,"When redeeming BonusCash, whether earned by Points conversion or purchase of promoted items, it is applied at time of purchase as a discount to the eligible balance before taxes. ",,Rewards Program
I think I may have more than one account. The Cashier always asks which one is mine at checkout. What's going on?,BonusCash,Multiple Accounts,"You may have multiple Reward accounts which could be causing the confusion. Please PM/DM us your full name and the phone number, or the 12 digit number associated with your Rewards account, and we can look into this further for you.",Try to use #BonusCash on twitter where relevant; we are trying to build this use up of this hashtag        ,Rewards Program
How much BonusCash do I have and when does it expire?,Bonus Cash,Available BonusCash,"We can certainly help you with your BonusCash. Can you please provide us with your full name and 12 digit Rewards number, or the phone number associated with your account, so we can better assist you? ",,Rewards Program
Can you tell me if I have $20 in bonus cash on my account from last night? Because I tried to call with my number and the automated thing is telling me I have no bonus cash and I earned $20 last night,Bonus Cash,When You're Unsure If Cx Is Referring To BC Or Points,"We can certainly look into this for you. Can you please provide us with your 12 digit Rewards number or the phone number associated with your account, so we can better assist you? ",You may want to confirm if the customer is referring to BC or Points if they aren't completely clear in their contact,Rewards Program
How much Bonus Cash do I earn for transferring a prescription?,Bonus Cash,Earning Bonus Cash,"Earn $10 in BonusCash Rewards when you fill an eligible prescription at Rite Aid. Insurance card and Rewards number must be presented with prescription transfer. All BonusCash rewards are automatically loaded to your Rewards account only for use in-store or at riteaid.com, and expire after 30 days. BonusCash Rewards may be used only for one purchase of $10 or more of merchandise at any Rite Aid. Limit one offer redemption per account. Offer only valid on any prescription not previously filled at or transferred from other Rite Aid locations. Not valid in Massachusetts, New Jersey, New York, Oregon, and Washington. Prescriptions paid for in whole or in part by any state or federal healthcare program such as Medicare, Medicaid, or TRICARE are not eligible. Offer only valid when prescription is filled and paid for at time of transfer. Not valid on prescriptions for controlled substances where prohibited by law or immunizations. Offer is not redeemable for cash, cannot be returned, and will not be replaced if expired. Reproduction or transfer of this offer constitutes fraud. Member is responsible for all taxes. BonusCash rewards are not valid on prescriptions, co-pays in New York, New Jersey, Massachusetts, and Washington, tax, transfers, shipping, tobacco products, alcohol, gift cards, lottery, licenses, money services, prepaid cards, newspapers, stamps, mailing services, dairy products, or products or items prohibited by law. Subject to change without notice. See riteaid.com/rules for complete rules. For more information, please visit: https://www.riteaid.com/pharmacy/prescription-savings/rx-transfer",,Rewards Program
What are Challenges? ,Rewards ,Offers,"Challenges are new opportunities to earn more Points and BonusCash through the purchase of your favorite items or brands across a multi-week timeframe. Just login to your digital account, select the challenge(s) you want to take on, and track your progress to win through the web or mobile challenge hub on the Rite Aid app.",,Rewards Program
What is a BonusCash Challenge,Rewards ,Offers,"In addition to earning points on eligible Rite Aid purchases and pharmacy pickups, BonusCash Challenges give participants the opportunity to earn extra points through the purchase of your favorite items or brand you love over a period of timeframe.",,Rewards Program
Does a member have to opt into a personal challenge for their purchases to count toward fulfilling that monthly challenge?  ,Rewards ,Offers,"You do need to opt in to a Challenge before you can participate. Once you opt into a monthly challenge, you can begin making progress toward that goal. Purchases made BEFORE opting into the Challenge, even if they are made in the same month, will unfortunately not count toward progress on that Challenge.  ",,Rewards Program
Do my in-store and online purchases count towards my challenges?,Rewards ,Offers,"Yes, in-store and online purchase of eligible products count towards your challenge as long as you present your phone number at checkout or login when purchasing online. If you do not use your Rite Aid Rewards account, or if you do not select the challenge before making the qualifying purchase, it will not count toward your challenge.",,Rewards Program
Can I change my mind about a challenge I've already selected?,Rewards ,Offers,"Yes. You can remove a selected challenge with the option to select another challenge until that challenge is fully activated, meaning you have made a qualifying purchase against the selected challenge. Once you have started to accumulate purchases against one of your selected challenges, you can no longer de-select that challenge in order to select a different challenge.",,Rewards Program
Why are my challenges different from someone else I know?,Rewards ,Offers,"Challenges presented to you are based on your prior purchase behavior with Rite Aid. Our intent is to provide you with challenges that are relevant to you and your household. Your challenges will include brands you already purchase at Rite Aid, and in some cases, brands we think you will enjoy.",,Rewards Program
What is a qualifying purchase?,Rewards ,Offers,"A qualifying purchase is the purchase of a product at Rite Aid or riteaid.com that is identified as being a part of a specific challenge. A detailed list of participating products for each challenge is available by clicking on the information details button provided within each challenge. If desired, you can also use the camera on your mobile device to scan the product barcode to see if it is part of a challenge. Excluded items are described within our Terms and Conditions .",,Rewards Program
When will qualifying purchases be reflected on my personal BonusCash Challenges web page?,Rewards ,Offers,Your BonusCash Challenges progress will be updated within 24-48 hours of each qualifying purchase.,,Rewards Program
How can I track my progress against my challenges?,Rewards ,Offers,"You can view your progress against your challenges at any time by visiting www.riteaid.com/bonuscashchallenges and logging in using your Rite Aid Rewards account. This will take you to your personal BonusCash Challenges web page. If you have opted into Rite Aid email communications, you will receive weekly progress emails containing a link directly to your personal BonusCash Challenges web page. Finally, you can always bookmark your personal BonusCash Challenges web page for quick access.",,Rewards Program
When will the points I earn playing BonusCash Challenges be added to my account?,Rewards ,Offers,"The last day to make a qualifying purchase is specified within each challenge. For March, the qualifying period starts March 2, 2022 and ends March 31, 2022. Points earned will be deposited into your Rite Aid Rewards account within 5 days. As with all points, you can choose when you want to convert your points into BonusCash. Keep in mind, points expire 90 days from the issuance date, which is the date the points were deposited into your account.",,Rewards Program
"What should I do if I made what I believe to be a qualifying purchase, but I do not receive credit for this purchase?",Rewards ,Offers,Please email Rite Aid Customer Care using the email form below.,,Rewards Program
Link to these FAQ's ,Rewards ,Offers,https://bonuspointschallenges.com/en/help,,Rewards Program
"I love Rite Aid in __________, people there are awesome!",Associate,Respectful/Good Natured,We would love to share your awesome feedback with the appropriate internal team! Could you please confirm which store you are referring to. Is it the store at [location]? Thank you!,,Front EndStore Service
"I love my Pharmacist, Kim, at Store #02000!",Associate,Respectful/Good Natured,We love to hear great things about our associates! We will definitely pass along your great feedback so Kim can be recognized!,,Front EndStore Service
I love my Rite Aid - you always have everything I need!,Associate,Respectful/Good Natured,"Thank you so much for sharing your thoughts, [Username]. We love hearing from you!",,Front EndStore Service
"All of the workers at my store in Mechanicsburg, Pa are awesome! Thank you for everything!",Associate,Respectful/Good Natured,This is terrific to hear! We're so glad to know that you enjoy visiting our Mechanicsburg store. We will share your great feedback with the appropriate internal team so these associates can be recognized!,,Front EndStore Service
The Cashier was so rude to me! Unacceptable!,Associate,Rude,"We're sorry to hear that you had a poor experience. Could you please PM/DM us your full name, contact details, and the location of the store you visited? We would like to have someone from the appropriate internal team follow up with you.",,Front EndStore Service
Your staff is so lazy! I asked for help from two associates and they just stared at me.,Associate,No Help,"We appreciate you bringing this to our attention, and we apologize for the poor experience. Could you please PM/DM us your full name, contact details, and the location of the store you visited? We would like to have someone from the appropriate internal team follow up with you.",,Front EndStore Service
It was so hard to find things at your store and no one helped me.,Associate,No Help,"Oh, no! We're very sorry to hear that you were disappointed with your experience at your local store. Could you PM/DM us your full name, contact details, and the location of the store you visited? We would like to have the appropriate internal team follow up with you.",,Front EndStore Service
One of your associates treated me very disrespectfully.,Associate,Rude,"We're sorry to hear that you had a poor experience. Could you please PM/DM us your full name, contact details, the location of the store you visited, and any additional details you feel comfortable sharing? We would like to have someone from the appropriate internal team follow up with you.",,Front EndStore Service
Looking for product or pricing (not able to call the store on behalf of the customer),Item Not Available,Unavailable,"We appreciate your reaching out. Unfortunately we don't have in-store stocking or pricing information available through social. For product availability, we would recommend reaching out to your local store. To help you find a location convenient to you, here's a link to our Store Locator: https://www.riteaid.com/locations/search.html",,Front EndStore Service
I couldn't find a particular item and I checked at several locations.,Item Not Available,Unavailable,"We apologize that the [item(s) the customer is looking for] aren't available in your area. We will definitely make our Leadership Team aware of this. Would you like them to contact you back regarding your concern? If so, all we need is your full name, the location of your primary store, and the best time/phone number for them to reach you. ",,Front EndStore Service
If you are not going to get in the things in your weekly flyer in your stores you should not put out the flyer!!!,Item Not Available,Unavailable,"We understand your concerns and appreciate you for reaching out. Can you please provide the store location and which items you are referring to, so we can let the appropriate internal team know about this stocking issue? Thank you!",,Front EndStore Service
There Is More Than One Store Location In Their Zip Code,Store Location,Need more information,"It looks like there are several stores within that zip code: [324 Virginia Beach Boulevard, 1661 Laskin Road], and [1624 Laskin Road]. Could you let us know which one you usually visit?","If there are more than 2-3 stores the customer is requesting be checked, gather their info and let them know that we will have a Leader contact them back to further assist them. We don't want to be calling around to more than those 2-3 stores (if the state of the queue allows).",Front EndStore Service
Cx Wants To Return Product But Is Vague About Purchase,Returns,Need more information,"We are sorry to hear that you are not satisfied with a product. Could you please PM us your Wellness+ card or the phone number associated with your account, the exact name of the product, any receipt information you may still have available, and if it was it purchased in-store or online? If it was purchased at a phystical store could you send us the store location, and if it was purchased online could you please send us the order number? Thank you!",,Front EndStore Service
ID All Policy,Policy,Complaint,"Rite Aid is committed to being fully compliant with all state and federal laws including those around the responsible sale of tobacco or alcohol products. After thoughtful consideration, Rite Aid decided to transition to a policy of asking all customers for their identification when they wish to purchase any tobacco or alcohol product. We believe this approach will ensure we are meeting every local, state and federal law prohibiting the sale of these products to underage customers.","We DO NOT create Actionable Cases for ID All complaints. If a customer is pushing back too much, please reach out to the Manager or Assistant Manager",Front EndStore Service
ID All Policy,Policy,Complaint,"However, while we would appreciate all customers showing official proof of age, if a customer appears to be over the age of 65, we will allow for a Manager on Duty to verify the sale to the customer without a Valid ID.","We DO NOT create Actionable Cases for ID All complaints. If a customer is pushing back too much, please reach out to the Manager or Assistant Manager",Front EndStore Service
For curbside p/u how are no bag handled? Since stores have NO BAGS the person bring my order out to my car with no bags?,"Curbside Delivery, Bags",Question,"If you would like bags, you can certainly ask for them during checkout, and it will ask for the quantity. If not, your order will be brought out without bags. You can also come in and pick up your order with your own bags.",,Front EndStore Service
When are you open? ,Hours,Question,"If you can send us your zip code, we can give you the store hours for the Rite Aid closest to you. You can also check your local store hours by visiting our Store Locator: https://locations.riteaid.com/locations/search.html.",Be sure to provide the customer with the FE/RX hours (these are usually different),Front EndStore Service
When is (specific store) open? ,Hours,Question,Your local Rite Aid store is open from [hours] and the pharmacy is open from [hours]. We'll see you soon!  (Agent to verify hours online.) ,"You can also add in the information about the Store Locator. We want to help, and educate. - ""You can also check your local store hours by visiting our Store Locator: https://locations.riteaid.com/locations/search.html.""",Front EndStore Service
I went to pick up my prescription and the store closed early due to weather! (customer DOESN'T want a contact back),Store Hours,Closed Early,"We apologize for the inconvenience, [Username]. We strive to keep our stores open, especially to serve our pharmacy customers who need essential medications. Which Rite Aid location did you visit?  (Obtain information and offer to have someone from the store reach out.)",,Front EndStore Service
I went to pick up my prescription and the store closed early due to weather! (customer DOES want a contact back),Store Hours,Closed Early,"We apologize for the inconvenience, [Username]. We strive to keep our stores open, especially to serve our pharmacy customers who need essential medications. Could you please PM/DM us your full name, contact details, and the location of the store you visited? We woud like to have someone from the appropriate internal team follow up with you.",You can edit in only the option that's needed based on the channel in which you're communications- DM or PM.,Front EndStore Service
I cannot believe you made your associates go to work today - the weather was terrible and they should have been able to stay home.,Store Hours,Still Open,We appreciate you sharing your concerns with us. We try to keep our stores open for our customers who need essential medications. ,"If they continue to express concern or are pushing for action, you can request the store location and create a Non-Actionable Case.",Front EndStore Service
"Service animal complaint (animal should not have been in store, or customer's animal was barred)",Service Animals,Complaint,"We only allow service animals in our stores. Could you please PM/DM us the store location, your full name, and your contact details, so we can have someone from the appropriate internal team follow up? ","If a customer claims that their animal is a service animal, we accept that explanation and no other questions or “proof” is necessary. In other words, a customer is not required to state their disability and they are NOT REQUIRED to show any kind of ID or papers for an animal that would prove it to be a service animal.      You can edit in only the option that's needed based on the channel in which you're communications- DM or PM.",Front EndStore Service
"Service animal complaint (animal should not have been in store, or customer's animal was barred)",Service Animals,Complaint,"We do allow service animals in our stores under Federal ADA regulations, [Username]. ","If a customer claims that their animal is a service animal, we accept that explanation and no other questions or “proof” is necessary. In other words, a customer is not required to state their disability and they are NOT REQUIRED to show any kind of ID or papers for an animal that would prove it to be a service animal.      You can edit in only the option that's needed based on the channel in which you're communications- DM or PM.",Front EndStore Service
Do service animals need to be leashed?,Service Animals,Question,"Yes, all service animals must be leashed.",,Front EndStore Service
All of my Rite Aid's have turned into Walgreens; All of my Rite Aid's have closed; Is Rite Aid even still around?; I thought Rite Aid sold all of its stores?,WBA,,"Rite Aid is still going strong! We did sell some stores to Walgreens but we still have many, many locations ready to serve our customers and communities. Our Online Store is also still available on our website at https://locations.riteaid.com/locations/search.html ",You can look up a relevant store location in the Store Store Locator if they provide any indication regarding their location,Front EndStore Service
How long after purchase do I have to make a return?,Returns,,"Yes, you can return or exchange an item you buy in our stores within 90 days of purchase. Just show us your receipt or the Rewards card that was used at the time of the original purchase. Learn more here: https://www.riteaid.com/customer-support/return-policy",Please see the Return Policy and FAQs at the bottom of the Rite Aid website for further wording or assistance: https://www.riteaid.com/customer-support/return-policy,Front EndStore Service
I used a coupon on the item I'm returning. Can I get my coupon back?,Returns,Coupons,"Unfortunately, no. When making a return for a product that had a coupon attached, Rite Aid cannot refund cash for the value of the coupon and cannot return the coupon that was used.",,Front EndStore Service
I don't have a receipt and I didn't use my Wellness+ Card. Can I still return my item.,Returns,,"You certainly can. To return or exchange an item without a receipt or Rewards card information used during the original purchase, you will be required to present photo ID. Returns without receipt or card will receive the lowest promotion price in the last 45 days. Authorized returns without a receipt may be refunded for a Rite Aid Gift Card or a product exchange.",,Front EndStore Service
Cx Wants To Return Product But Is Vague About Purchase,Returns,,"We are sorry to hear that you are not satisfied with a product. Could you please PM us your Rewards card or the phone number associated with your account, the exact name of the product, any receipt information you may still have available, and if it was it purchased in-store or online? If it was purchased at a phystical store could you send us the store location, and if it was purchased online could you please send us the order number? Thank you!",,Front EndStore Service
Is Thrifty's ice cream pasteurized?,Thrifty Ice Cream,Inquiry,Thrifty's ice cream is pasteurized. It is FDA inspected and receives regular inspections by the CA Department of Agriculture and many other regulatory bodies.,,Front EndStore Service
Do you have a sugar-free option?,Thrifty Ice Cream,Positive,"We have a delicious, sugar-free Chocolate Peanut Butter Cup (48 oz) flavor that can be found in the freezer section of most locations. For flavor availability, we would recommend contacting your local Rite Aid: https://www.riteaid.com/locations/search.html?q=",,Front EndStore Service
I'm very happy that my Rite Aid carries Thrifty ice cream!,Thrifty Ice Cream,Positive,We're glad to be able to make Thrifty ice cream available!,,Front EndStore Service
I LOVE Thrifty!,Thrifty Ice Cream,Positive,We couldn't agree more!,"You could use a smiling, ice cream, or heart emoji here",Front EndStore Service
I could really go for some Rite Aid ice cream right now!,Thrifty Ice Cream,Positive,It's always a good time for Thrifty! ,"You could use a winking, ice cream, or heart emoji here",Front EndStore Service
Where can I get Thrifty Ice Cream?,Thrifty Ice Cream,Find Item,"You can scoop up your favorite Thrifty flavor in the freezer section of your local Rite Aid! To find a store convenient to you, here's a link to our Store Locator: https://www.riteaid.com/locations/search.html ",,Front EndStore Service
Where can I get Rite Aid Ice Cream?,Thrifty Ice Cream,Find Item,"Great question! Thrifty ice cream is available at your local Rite Aid. To find your nearest store, please visit our Store Locator: https://www.riteaid.com/locations/search.html ",,Front EndStore Service
"I heard you sell Thrifty in states other than CA now?
",Thrifty Ice Cream,Find Item,"Thrifty Ice Cream has always been a staple in our California stores but we've recently expanded the availability of our iconic, award-winning brand to all of our stores. We would suggest checking in with your local Rite Aid to see what delicious Thrifty flavors they have available: https://www.riteaid.com/locations/search.html",You could provide the store locator link to help further assist,Front EndStore Service
What's with the square scoop?,Thrifty Ice Cream,Scoop,"Great question! It's a proprietary square scoop that is unique to the Thrifty brand. You can “scoop” up one for yourself, here: https://www.riteaid.com/shop/thrifty-stainless-steel-cylindrical-ice-cream-scoop-1ct",,Front EndStore Service
Where can I get a Thrify ice cream scoop?,Thrifty Ice Cream,Scoop,"Great question! You can “scoop” up one for yourself, here: https://www.riteaid.com/shop/thrifty-stainless-steel-cylindrical-ice-cream-scoop-1ct",,Front EndStore Service
Does RA have a way to prevent contamination by allergens at their Thrifty counters? ,Thrifty Ice Cream,Allergens,Rite Aid does adhere to the FDA’s guidelines and recommendations for allergens at all Thrifty ice cream counters.,,Front EndStore Service
Further details on process,Thrifty Ice Cream,Allergens,"Rite Aid adheres to the FDA’s guidelines and recommendations for allergens. We have associates who do a full wash and sanitization of the production floor and all machinery and a chlorine wash between each flavor that contains any of the flavors containing allergens, and we also test for proteins before starting the next flavor.",,Front EndStore Service
Does it have high fructose corn syrup in it?,Thrifty Ice Cream,Inquiry,"Our base mix for our ice cream does not contain High Fructose Corn Syrup, however various ingredients in certain flavors may contain small amounts of it. Thank you!",,Front EndStore Service
Individual or company would like to become a vendor and sell their product(S) in our stores,Suppliers/Supplier Request,Inquiry,Thank you for your interest in Rite Aid! We encourage you to visit our Supplier Portal for more information: https://raportal.riteaid.com/RA/RAPORTAL/RAMN0001.aspx?_ga=2.207761682.1495949046.1590002776-1392862665.1554319084,,Front EndStore Service
Where can I find Investor Relations information?,Investor Relations,Inquiry,"For all the latest public information on our company, please visit our Investor Relations page: https://investors.riteaid.com/overview/default.aspx",,Front EndStore Service
"I want to put in a bid to cut lawns, do building maintenance, shovel snow, etc. for RA properties",Maintenance,Inquiry,"To be considered or put in a bid for maintenance work, please contact our corporate headquarters at 717-761-2633. Thank you!",These inquiries should NOT be Cased to the store. They can be Cased as Corporate Inquiry -> General/Unidentifiable ,Front EndStore Service
Would Rite Aid be willing to give my charity a donation? (need further details),Donations,,"Thanks for reaching out, and we appreciate you thinking of us! Your request has been forwarded to the relevant department for consideration.",,Front EndStore Service
Would Rite Aid be willing to give my charity a donation?,Donations,,Thanks for reaching out- we appreciate you thinking of us! We have sent your request to the appropriate department for review. ,,Front EndStore Service
Folds of Honor Donation (5/27/29),,,Thank you! It is our honor to be able to contribute through our Rite Aid Foundation.,,Front EndStore Service
Folds of Honor Donation (5/27/29),,,It's our pleasure to be part of this great cause!,,Front EndStore Service
Folds of Honor Donation (5/27/29),,,Serving and helping the community is what it's all about! It's our honor to be able to give back.,,Front EndStore Service
Folds of Honor Donation (5/27/29),,,Thanks for the support! We appreciate the kind words.,,Front EndStore Service
Folds of Honor Donation (5/27/29),,,Thanks for the kind words! Giving back is an essential part of who we are.,,Front EndStore Service
Folds of Honor Donation (5/27/29),,,It's our pleasure to be able to give back to @foldsofhonor. Thank you for sharing this!,,Front EndStore Service
Folds of Honor Donation (5/27/29),,,Thanks for sharing! We're glad to be able to help in any way we can through our Rite Aid Foundation.,,Front EndStore Service
What kind of coupons are accepted at Rite Aid?,Coupons,Question,We gladly accept several types of coupons. Take a look at our coupon acceptance policy for more information: https://www.riteaid.com/coupons/coupon-acceptance-policy,,Front EndStore Service
Do you have any specials this week or where can I get a circular?,Deals/Sales,Question,Hi [Username]- You can view our Weekly Ad on our website here; just enter your zip code to view the great deals at your local store: https://www.riteaid.com/weekly-ad ,,Front EndStore Service
Customer Wants To Receive The Circular But Isn’t Getting It In The Mail Any Longer,Deals/Sales,Question,"Thanks so much for reaching out! To continue receiving a circular, we would recommend contacting your local post office for further assistance. You can also pick up a copy at your local store or visit our website to view the latest deals:  https://www.riteaid.com/weekly-ad ",,Front EndStore Service
Do you have any coupons for X?,Coupons,Question,"Yes [Username]- We have a coupon for that online. Here it is! [link]     OR       Hi [Username]- You can check out all of our great online coupons here: https://www.riteaid.com/coupons. To use Load2Card coupons, you will need to log into your Rite Aid account.",Customer will need a web account linked to a Rewards account in order to access certain coupons such as L2C,Front EndStore Service
Will X still be on sale next week? I can't make it in. ,Deals/Sales,Question,"Hello [Username]- Yes, the product will be on sale next week! Remember you can always buy the product online too!      OR        Unfortunately, no it will not be on sale next week. But, you can take advantage of this great deal by ordering online! You can always check out the latest sales and offers at this link: https://www.riteaid.com/shop/online-deals",Check the Weekly Ad on the website and/or our online store site found under SHOP for more information.     If it's not on sale in-store it may not be on sale online either. Always double check. If that specific item isn't on sale at all you can always skip to the end where you apologize that it's not on sale but our other great sales and offers can be found at etc. You can also direct them to contact their local store for more information on if the sale will continue into the following week.,Front EndStore Service
